id,review,helpfulness
1,When I saw the picture I was excited. I was going to give this as a 30th birthday present but I decided to try if for myself. It was a huge let down.  I don't remember wink soda and it tasted like a generic mountain dew.  The candy could have been from any decade. BTW where were the gummy savers. It was mostly generic stuff. Not worth the price at all. Shipping was too much. If they would take out that nasty generic soda the shipping could be cut in half.,1
2,"When this movie first came out about fifteen years ago, my father owned a video store and every Wednesday night was ""Beetlejuice"" night. I'm older now, obviously, but I still cannot get enough of this movie. <p>Alec Baldwin and Geena Davis play Adam and Barbara Maitland, two Connecticut yuppies who die prematurely in a car wreck. Within a couple weeks, their home is overrun by an ultra-trendy New York City family, Charles and Delia Deetz, and their Goth daughter, Lydia (played respectively by Jeffrey Jones, Catherine O'Hara, and Winona Ryder). Adam and Barbara want their house back, and attempt to scare the Deetz's out of the house by wearing sheets and even by possessing them over dinner, making them sing and dance to Harry Belafonte's ""Day O."" Those attempts fail and enter Michael Keaton as Betelguese, ""the afterlife's leading freelance bio-exorcist."" The movie is dark without being scary and funny without being ridiculous. <p>In my opinion, one of the real gems in this film is the late Sylvia Sidney as Juno, Your Case Worker. Sidney was pushing eighty when this film was made, but turns in a great performance as the embittered equivalent of an afterlife social worker. Love how the smoke from her ever-present cigarette comes out of the slit in her throat. <p>If you've never seen this movie, see it. If you have seen it but don't own it on DVD, get it. The picture quality is better than ever.",1
3,Good price and great taste. You can tell it is organic and of good quality. I will definitely buy it again and probably even try the white tea as well.,1
4,"I never received the item.  It was in my area for at least 5 days, I had tracked it and talked to the UPS people.  Still, it never got to me.  I called the company it was produced by, they said call UPS and/or fill out complaint to Amazon.  I called UPS numerous times but didn't contact Amazon because I want nothing to do with Pay Pal.",0
5,I read a review and was excited to try this salt. I didn't think it was anything special and would highly recommend Morton's Kosher Salt which is far superior and more flavorable in my opinion. It is available at any grocery store and much cheaper too!,0
6,It didn't work for me.  Maybe its because I couldn't get past letting the whole tablet dissolve because to me the tablet tasted like vomit.,0
7,"I have used this matcha daily for about 6 weeks now. It is very good for what I use it for. I make my own version of Starbucks Green Tea Frappuccino. (Once that drink name started to roll of my kids' tongues easily - I realized I was spending too much money on these drinks - and daily!)I am not familiar with various grades of matcha, but did not want something pre-sweetened or modified because I wanted to control the sugar, etc. I make my frappuccino like this: sorry - I do not measure - so you may have to modify these amounts because I am guessing!<br /><br />1 1/2c milk<br /><br />2 heaping spoonfuls (the spoon that's included) green tea powder<br /><br />1/8c simple syrup (I make it myself and keep in fridge for week or so)<br /><br />10+ice cubes (adjust to your taste - depends on size of cubes)<br /><br />Blend this in a blender - longer than you think - pulse first then blend for a bit - I scrape down a bit bc the powder flies around a little and you don't want to lose any. (Simple syrup is 1c water, 1c sugar heated until sugar dissolves) It is much easier than it may sound - I make these daily in the morning. I hope this helps anyone else out there who is addicted to the GT Frappuccino - it is slightly different (I think they use a different gt powder and a honeydew syrup), but I liked mine MORE within the first week of having them!",1
8,"My primary reason for looking at unconventional salts was not for any kind of magical healing powers, but because I've learned how bad chemically processed salts are for you.<br /><br />I'm all for marketing even if it makes your product sound like it came right from the heavens... but I'm also for doing your own research.<br /><br />""Himalayan Salts"" don't come from the mountains themselves... instead it typically comes from Pakistan a few hundred miles away.  That's not to necessarily say the mineral deposits wouldn't have come from the mountains, but it sounds a lot less exotic when you find it's the same stuff that's used to salt the roads over there.<br /><br />There are a lot of varying reports on Himalayan salt... many suggesting that it is indeed high in lots of great minerals, but any balanced report seems to suggest it's also be high in other stuff you don't want too much of, such as fluoride....  The supposed ancient lake this salt came from is from the dinosaur age, but just look what happened to them ;).<br /><br />I'm not sure what to believe now, but when I realized I was wasting way too much time I decided I'd just switch to French Gray Sea Salt also sold by the Spice Lab... If you check The Spice Lab's website, they've actually got a link to their supplier in France who seems to have been around for hundreds of years harvesting salt the old fashioned way free of any chemical/artificial processing... Many of their workers have even been in the salt harvesting industry for many generations.  Sounds good to me, much less fairy tail like.  In comparison, I watched a video online about Himalayan salts and the lady said it was important that Himalayan Salts be removed by hand to preserve it's good vibrations....<br /><br />I'm positive that this Himalayan salt is many times better than ordinary table salt, and it tastes great too!  But to best accomplish what I set out to do, I think the French Gray Salt sounds like a no-nonsense quality product that fits the bill.",1
9,"Dealing with an allery to corn isn't easy, but these lollipops sure make it seem a lot easier.  They're wonderfully flavored, organic, and made by a company who honestly cares about its customers.  These are a great find and a staple of my house. They're just awesome, its hard to believe they're corn-free.",1
10,"I paid over $13.00 for ""expedited"" delivery and the product still took FIVE days to arrive. Would not buy from them again.",0
11,"My 80 year old Mom suffered from excruciating back and muscle pain. When I took her to see an MD specializing in pain relief, he recommended she try using CALM first, stating many of his patients found significant pain relief by addressing their magnesium deficiency by taking CALM. After she successfully reduced the pain using CALM as part of the regimen prescribed by her MD, my husband and I started using CALM for our muscle and joint pains, (61 and 58) and also found relief from pain; we accidently discovered it promotes a good night's sleep when we missed taking it one night and did not sleep as well. All of us now use CALM daily and stockpile a 3 month supply!",1
12,I purchased this product after entering Nespresso in the search field.  Unfortunately this product has nothing to do with Nespresso except it is made by Nestle.  It does not work with Nespresso.  It might be a good product. But beware that it is not compatible with Nespresso.,0
